"","regCodeExt","metaCondition","condition","conditionCode","context","contextCode","regName","variant","regCode","component","day","cycleTaken","cycleLength","noCycles","branchInfo","Radio.Therapy.","continuous","noCycles_Original","regString","shortString"
"1","100.59.1510.1","Thoraic Oncology","Non-small cell lung cancer, MET-mutated",100,"Metastatic disease, all lines of therapy",59,"Capmatinib monotherapy",1,1510,"Capmatinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;","1.Capmatinib;1.Capmatinib;"
"2","100.59.1511.1","Thoraic Oncology","Non-small cell lung cancer, MET-mutated",100,"Metastatic disease, all lines of therapy",59,"Tepotinib monotherapy",1,1511,"Tepotinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;","1.Tepotinib;1.Tepotinib;"
"3","101.59.1512.1","Thoraic Oncology","Non-small cell lung cancer, RET-positive",101,"Metastatic disease, all lines of therapy",59,"Pralsetinib monotherapy",1,1512,"Pralsetinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;","1.Pralsetinib;1.Pralsetinib;"
"4","101.59.1513.1","Thoraic Oncology","Non-small cell lung cancer, RET-positive",101,"Metastatic disease, all lines of therapy",59,"Selpercatinib monotherapy",1,1513,"Selpercatinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;","1.Selpercatinib;1.Selpercatinib;"
"5","1011.59.1514.1","Thoraic Oncology","Non-small cell lung cancer, ROS1-positive",1011,"Advanced or metastatic disease, ROS1 inhibitor-naive",59,"Ceritinib monotherapy",1,1514,"Ceritinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;","1.Ceritinib;1.Ceritinib;"
"6","1011.59.1515.1","Thoraic Oncology","Non-small cell lung cancer, ROS1-positive",1011,"Advanced or metastatic disease, ROS1 inhibitor-naive",59,"Crizotinib monotherapy",1,1515,"Crizotinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;","1.Crizotinib;1.Crizotinib;"
"7","1011.59.1516.1","Thoraic Oncology","Non-small cell lung cancer, ROS1-positive",1011,"Advanced or metastatic disease, ROS1 inhibitor-naive",59,"Entrectinib monotherapy",1,1516,"Entrectinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;","1.Entrectinib;1.Entrectinib;"
"8","1011.59.1517.1","Thoraic Oncology","Non-small cell lung cancer, ROS1-positive",1011,"Advanced or metastatic disease, ROS1 inhibitor-exosed",59,"Lorlatinib monotherapy",1,1517,"Lorlatinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;","1.Lorlatinib;1.Lorlatinib;"
"9","102.59.1518.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"All lines of therapy",59,"Cisplatin & Vinorelbine (CVb)",1,1518,"Cisplatin","1","",28,3,"","",TRUE,"Cont.","7.Cisplatin;0.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Cisplatin;0.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;","7.Cisplatin;0.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;"
"10","102.59.1518.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"All lines of therapy",59,"Cisplatin & Vinorelbine (CVb)",1,1518,"Vinorelbine","1,8,15,22","",28,3,"","",TRUE,"Cont.","7.Cisplatin;0.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Cisplatin;0.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;","7.Cisplatin;0.Vinorelbine;7.Vinorelbine;7.Vinorelbine;7.Vinorelbine;"
"11","102.59.1519.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"All lines of therapy",59,"Teniposide & WBRT",1,1519,"Teniposide","1","",14,3,"","",TRUE,"Cont.","14.Teniposide;14.Teniposide;","14.Teniposide;14.Teniposide;"
"12","102.59.1520.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"ALK-mutated, all lines of therapy",59,"Alectinib monotherapy",1,1520,"Alectinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;","1.Alectinib;1.Alectinib;"
"13","102.59.1521.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"ALK-mutated, all lines of therapy",59,"Ceritinib monotherapy",1,1521,"Ceritinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;","1.Ceritinib;1.Ceritinib;"
"14","102.59.1522.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Afatinib monotherapy",1,1522,"Afatinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;","1.Afatinib;1.Afatinib;"
