"regCodeExt","metaCondition","condition","conditionCode","context","contextCode","regName","variant","regCode","component","day","cycleTaken","cycleLength","noCycles","branchInfo","Radio.Therapy.","continuous","noCycles_Original","regString","shortString"
"100.59.1510.1","Thoraic Oncology","Non-small cell lung cancer, MET-mutated",100,"Metastatic disease, all lines of therapy",59,"Capmatinib monotherapy",1,1510,"Capmatinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;1.Capmatinib;","1.capmatinib;1.capmatinib;"
"100.59.1511.1","Thoraic Oncology","Non-small cell lung cancer, MET-mutated",100,"Metastatic disease, all lines of therapy",59,"Tepotinib monotherapy",1,1511,"Tepotinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;1.Tepotinib;","1.tepotinib;1.tepotinib;"
"101.59.1512.1","Thoraic Oncology","Non-small cell lung cancer, RET-positive",101,"Metastatic disease, all lines of therapy",59,"Pralsetinib monotherapy",1,1512,"Pralsetinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;1.Pralsetinib;","1.pralsetinib;1.pralsetinib;"
"101.59.1513.1","Thoraic Oncology","Non-small cell lung cancer, RET-positive",101,"Metastatic disease, all lines of therapy",59,"Selpercatinib monotherapy",1,1513,"Selpercatinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;1.Selpercatinib;","1.selpercatinib;1.selpercatinib;"
"1011.59.1516.1","Thoraic Oncology","Non-small cell lung cancer, ROS1-positive",1011,"Advanced or metastatic disease, ROS1 inhibitor-naive",59,"Entrectinib monotherapy",1,1516,"Entrectinib","1, 2, 3, 4, 5, 6, 7","",7,3,"","",TRUE,"Cont.","1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;1.Entrectinib;","1.entrectinib;1.entrectinib;"
"102.59.1519.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"All lines of therapy",59,"Teniposide Monotherapy",1,1519,"Teniposide","1","",14,3,"","",TRUE,"Cont.","14.Teniposide;14.Teniposide;","14.teniposide;14.teniposide;"
"102.59.1523.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Cisplatin, Gefitinib, Pemetrexed",1,1523,"Cisplatin","1","",28,3,"","",TRUE,"Cont.","1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Cisplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.cisplatin;0.gefitinib;0.pemetrexed;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;"
"102.59.1525.1","Thoraic Oncology","Non-small cell lung cancer, CNS metastases",102,"EGFR-mutated, all lines of therapy",59,"Gefitinib, Nedaplatin, Pemetrexed",1,1525,"Gefitinib","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28","",28,3,"","",TRUE,"Cont.","1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;0.Nedaplatin;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;","1.gefitinib;0.nedaplatin;0.pemetrexed;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;"
"103.62.1531.2","Thoraic Oncology","Small cell lung cancer",103,"Limited stage, definitive chemoradiotherapy",62,"Cisplatin & Etoposide (EP)",2,1531,"Cisplatin","1","",28,3,"","X",TRUE,"Cont.","26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;26.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;","26.cisplatin;0.etoposide;1.etoposide;1.etoposide;"
"103.63.1534.1","Thoraic Oncology","Small cell lung cancer",103,"Extensive stage, induction",63,"Belotecan & Cisplatin",1,1534,"Belotecan","1,2,3,4","",21,3,"","",TRUE,"Cont.","18.Belotecan;0.Cisplatin;1.Belotecan;1.Belotecan;1.Belotecan;18.Belotecan;0.Cisplatin;1.Belotecan;1.Belotecan;1.Belotecan;","18.belotecan;0.cisplatin;1.belotecan;1.belotecan;1.belotecan;"
