tumorType,metaCondition,condition,conditionCode,context,contextCode,regName,variant,regCode,component,day,cycleTaken,cycleLength,noCycles,branchInfo,regCode,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,AC-D,01,0001,Doxorubicin,1,,21,8,,001.0001.01,,Unique Conditions,Unique Components,Unique Regimens,Unique regNames
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,AC-D,01,0001,Cyclophosphamide,1,,21,8,,001.0001.01,,171,391,3717,1608
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,AC-D,01,0001,Docetaxel,1,,21,8,,001.0001.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,AC-T,01,0002,Doxorubicin,1,,21,9,,001.0002.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,AC-T,01,0002,Cyclophosphamide,1,,21,9,,001.0002.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,AC-T,01,0002,Paclitaxel,"1,8,15",,21,9,,001.0002.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-AC,01,0003,Doxorubicin,1,,21,8,,001.0003.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-AC,01,0003,Cyclophosphamide,1,,21,8,,001.0003.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-AC,01,0003,Docetaxel,1,,21,8,,001.0003.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-AC+Bev,01,0004,Docetaxel,1,"1,2,3,4",21,,,001.0004.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-AC+Bev,01,0004,Doxorubicin,1,"5,6,7,8",21,,,001.0004.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-AC+Bev,01,0004,Cyclophosphamide,1,"5,6,7,8",21,,,001.0004.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-AC+Bev,01,0004,Bevacizumab,1,"1,2,3,4,5,6",21,,,001.0004.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC,01,0005,Docetaxel,1,"1,2,3",21,,,001.0005.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC,01,0005,Fluorouracil,1,"4,5,6",21,,,001.0005.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC,01,0005,Epirubicin,1,"4,5,6",21,,,001.0005.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC,01,0005,Cyclophosphamide,1,"4,5,6",21,,,001.0005.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC+Bev,01,0006,Docetaxel,1,"1,2,3",21,,,001.0006.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC+Bev,01,0006,Fluorouracil,1,"4,5,6",21,,,001.0006.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC+Bev,01,0006,Epirubicin,1,"4,5,6",21,,,001.0006.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC+Bev,01,0006,Cyclophosphamide,1,"4,5,6",21,,,001.0006.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,D-FEC+Bev,01,0006,Bevacizumab,1,"1,2,3,4",21,,,001.0006.01,,,,,
Solid Tumor,Breast Oncology,Breast cancer,001,"Neoadjuvant chemotherapy, sequential protocols",000,EC-D,01,0007,Epirubicin,1,"1,2,3,4",21,,,001.0007.01,,,,,
