"","regCode","study","study_code","regimen","regimen_code","variant","var_code","context","context_code"
"1","803.795.1.794","Collins et al. 2007",803,"Cyclophosphamide and Prednisolone","795","normal",1,"All lines of therapy","794"
"2","3561.797.48.794","Shaffer et al. 1997",3561,"Cyclophosphamide and Prednisone","797","Regimen variant #1",48,"All lines of therapy","794"
"3","345.797.778.794","Bayer et al. 1999",345,"Cyclophosphamide and Prednisone","797","Regimen variant #2",778,"All lines of therapy","794"
"4","1715.797.1466.794","Green et al. 1993",1715,"Cyclophosphamide and Prednisone","797","Regimen variant #3",1466,"All lines of therapy","794"
"5","803.808.1.794","Collins et al. 2007",803,"Prednisolone monotherapy","808","normal",1,"All lines of therapy","794"
"6","1714.801.1.794","Green et al. 1981|Green et al. 1993",1714,"Prednisone monotherapy","801","normal",1,"All lines of therapy","794"
"7","4147.810.623.794","Yao et al. 2014",4147,"Rituximab monotherapy","810","Regimen variant #1 low-dose",623,"All lines of therapy","794"
"8","1374.810.1426.794","Field et al. 2006",1374,"Rituximab monotherapy","810","Regimen variant #2 standard-dose",1426,"All lines of therapy","794"
"9","2299.1932.1.813","L-19 Protocol",2299,"5 plus 3d","1932","normal",1,"Induction therapy","813"
"10","2299.1939.1.813","L-19 Protocol",2299,"5 plus 3i","1939","normal",1,"Induction therapy","813"
"11","650.814.471.813","CCG 251|EORTC/HOVON AML-9",650,"7 plus 3d","814","Regimen variant #1 700/90",471,"Induction therapy","813"
"12","1262.814.892.813","EORTC/HOVON AML-11",1262,"7 plus 3d","814","Regimen variant #2 1400/90",892,"Induction therapy","813"
"13","3027.1965.1.813","panobidara",3027,"7 plus 3i and Panobinostat","1965","normal",1,"Induction therapy","813"
"14","2562.1974.1.813","MDACC 2007-0835",2562,"7 plus 3i and Vorinostat","1974","normal",1,"Induction therapy","813"
"15","3624.1982.1.813","Solary et al. 2003",3624,"7 plus 5i","1982","normal",1,"Induction therapy","813"
"16","3374.1990.48.813","Rosenthal and Moloney 1972",3374,"Cytarabine, Daunorubicin, Vincristine","1990","Regimen variant #1",48,"Induction therapy","813"
"17","2402.1990.778.813","Loewenberg et al. 1989",2402,"Cytarabine, Daunorubicin, Vincristine","1990","Regimen variant #2",778,"Induction therapy","813"
"18","1257.1990.1466.813","EORTC AML6",1257,"Cytarabine, Daunorubicin, Vincristine","1990","Regimen variant #3",1466,"Induction therapy","813"
"19","2545.2148.1.813","MDACC 2003-0314|Issa et al. 2014",2545,"Decitabine and Valproate","2148","normal",1,"Induction therapy","813"
"20","1813.2155.1.813","Heyn et al. 1960",1813,"Mercaptopurine monotherapy","2155","normal",1,"Induction therapy","813"
"21","1106.32042.1.1526","ECOG E3483",1106,"Amsacrine and HiDAC","32042","normal",1,"Consolidation after upfront therapy","1526"
"22","3701.2183.1.1526","Stone et al. 2001",3701,"Cytarabine monotherapy","2183","normal",1,"Consolidation after upfront therapy","1526"
"23","2562.1976.1.1526","MDACC 2007-0835",2562,"Cytarabine, Idarubicin, Vorinostat","1976","normal",1,"Consolidation after upfront therapy","1526"
"24","3027.1967.1.1656","panobidara",3027,"Panobinostat monotherapy","1967","normal",1,"Non-curative first-line maintenance therapy","1656"
"25","2562.2190.1.1656","MDACC 2007-0835",2562,"Vorinostat monotherapy","2190","normal",1,"Non-curative first-line maintenance therapy","1656"
"26","1884.1873.1.1699","I-BFM-SG 2001/01",1884,"FLAG-DNX","1873","normal",1,"Salvage therapy","1699"
"27","4050.839.1.1699","Vogler et al. 1994",4050,"High-dose Cytarabine monotherapy (HiDAC)","839","normal",1,"Salvage therapy","1699"
"28","3778.2217.1.1699","SWOG S0919",3778,"IAP","2217","normal",1,"Salvage therapy","1699"
"29","1373.2224.1.1699","Fiegl et al. 2013",1373,"SHAI","2224","normal",1,"Salvage therapy","1699"
"30","4011.75489.1.1699","VALOR",4011,"Cytarabine and Vosaroxin","75489","normal",1,"Salvage therapy","1699"
"31","2778.2232.1.1874","NCI-2012-01147",2778,"Azacitidine, Vorinostat, Gemtuzumab ozogamicin","2232","normal",1,"Non-curative subsequent-line therapy","1874"
"32","3482.2239.1.1874","Santana et al. 1992",3482,"Cladribine monotherapy","2239","normal",1,"Non-curative subsequent-line therapy","1874"
"33","2155.1422.1.1874","Kantarjian et al. 2003",2155,"Clofarabine monotherapy","1422","normal",1,"Non-curative subsequent-line therapy","1874"
"34","752.840.1.1874","CLASSIC I|VALOR",752,"Intermediate-dose Cytarabine monotherapy (IDAC)","840","normal",1,"Non-curative subsequent-line therapy","1874"
"35","1.814.48.813","",1,"7 plus 3d","814","Regimen variant #1",48,"Induction therapy","813"
"36","3255.814.778.813","RATIFY",3255,"7 plus 3d","814","Regimen variant #2",778,"Induction therapy","813"
"37","3255.1889.1.813","RATIFY",3255,"7 plus 3d and Midostaurin","1889","normal",1,"Induction therapy","813"
"38","3976.1276.1.813","UK NCRI AML17",3976,"DA 3  plus  10","1276","normal",1,"Induction therapy","813"
"39","2309.1358.1.1357","LACEWING",2309,"Azacitidine monotherapy","1358","normal",1,"Non-curative first-line induction therapy","1357"
"40","536.1892.1.1357","CALGB 11001",536,"7 plus 3d and Sorafenib","1892","normal",1,"Non-curative first-line induction therapy","1357"
"41","3255.1890.1.1526","RATIFY",3255,"HiDAC and Midostaurin","1890","normal",1,"Consolidation after upfront therapy","1526"
"42","536.1894.1.1526","CALGB 11001",536,"IDAC and Sorafenib","1894","normal",1,"Consolidation after upfront therapy","1526"
"43","3255.1900.1.1901","RATIFY",3255,"Midostaurin monotherapy","1900","normal",1,"Maintenance after upfront therapy","1901"
"44","3641.1602.410.1901","Sorafenib-Flt3 AML-2015",3641,"Sorafenib monotherapy","1602","Regimen variant #1 6 months",410,"Maintenance after upfront therapy","1901"
"45","536.1602.865.1901","CALGB 11001",536,"Sorafenib monotherapy","1602","Regimen variant #2 12 mos",865,"Maintenance after upfront therapy","1901"
"46","3643.1602.1548.1901","SORMAIN",3643,"Sorafenib monotherapy","1602","Regimen variant #3 2 years",1548,"Maintenance after upfront therapy","1901"
"47","862.1900.250.1699","CPKC412A2104|CPKC412A2104",862,"Midostaurin monotherapy","1900","Regimen variant #1 3",250,"Salvage therapy","1699"
"48","862.1900.990.1699","CPKC412A2104|CPKC412A2104",862,"Midostaurin monotherapy","1900","Regimen variant #2 3",990,"Salvage therapy","1699"
"49","3702.1900.1466.1699","Stone et al. 2004",3702,"Midostaurin monotherapy","1900","Regimen variant #3",1466,"Salvage therapy","1699"
"50","78.1358.1.1874","ADMIRAL",78,"Azacitidine monotherapy","1358","normal",1,"Non-curative subsequent-line therapy","1874"
"51","2571.1910.1.1874","MDACC 2010-0511",2571,"Azacitidine and Sorafenib","1910","normal",1,"Non-curative subsequent-line therapy","1874"
"52","3220.1285.1.1874","QuANTUM-R|ADMIRAL",3220,"FLAG-Ida","1285","normal",1,"Non-curative subsequent-line therapy","1874"
"53","11.1903.1.1874","2215-CL-0101|ADMIRAL",11,"Gilteritinib monotherapy","1903","normal",1,"Non-curative subsequent-line therapy","1874"
"54","3220.1485.1.1874","QuANTUM-R|ADMIRAL",3220,"Low-dose Cytarabine monotherapy (LoDAC)","1485","normal",1,"Non-curative subsequent-line therapy","1874"
"55","3220.1344.1.1874","QuANTUM-R|ADMIRAL",3220,"MEC","1344","normal",1,"Non-curative subsequent-line therapy","1874"
"56","3219.48960.1.1874","QuANTUM-R",3219,"Quizartinib monotherapy","48960","normal",1,"Non-curative subsequent-line therapy","1874"
"57","96.49832.1.3175","AGILE",96,"Azacitidine and Ivosidenib","49832","normal",1,"Non-curative first-line therapy","3175"
"58","92.1917.1.3175","AG120-C-001",92,"Ivosidenib monotherapy","1917","normal",1,"Non-curative first-line therapy","3175"
"59","92.1917.1.1699","AG120-C-001",92,"Ivosidenib monotherapy","1917","normal",1,"Salvage therapy","1699"
"60","90.1925.1.3175","AG-221-C-001 untreated",90,"Enasidenib monotherapy","1925","normal",1,"Non-curative first-line therapy","3175"
