"","regCodeExt","tumorType","metaCondition","condition","conditionCode","context","contextCode","regName","continuous","noCycles_Original","regString","shortString"
"1","1.126.100.1","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Cyclophosphamide & Non-pegylated liposomal doxorubicin (MC)",TRUE,"Cont.","21.Cyclophosphamide;0.Non-pegylatedliposomaldoxorubicin;21.Cyclophosphamide;0.Non-pegylatedliposomaldoxorubicin;","21.Cyclophosphamide;0.Non-pegylatedliposomaldoxorubicin;"
"2","1.126.101.1","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Paclitaxel monotherapy, weekly",TRUE,"Cont.","7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;","7.Paclitaxel;7.Paclitaxel;"
"3","1.126.101.2","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Paclitaxel monotherapy, weekly",TRUE,"Cont.","14.Paclitaxel;7.Paclitaxel;7.Paclitaxel;14.Paclitaxel;7.Paclitaxel;7.Paclitaxel;","14.Paclitaxel;7.Paclitaxel;7.Paclitaxel;"
"4","1.126.101.3","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Paclitaxel monotherapy, weekly",TRUE,"Cont.","7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;","7.Paclitaxel;7.Paclitaxel;"
"5","1.126.102.1","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Paclitaxel monotherapy, q3wk",TRUE,"Cont.","21.Paclitaxel;21.Paclitaxel;","21.Paclitaxel;21.Paclitaxel;"
"6","1.126.102.2","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Paclitaxel monotherapy, q3wk",TRUE,"Cont.","28.Paclitaxel;28.Paclitaxel;","28.Paclitaxel;28.Paclitaxel;"
"7","1.126.103.1","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Paclitaxel & Bevacizumab",TRUE,"Cont.","14.Bevacizumab;0.Paclitaxel;7.Paclitaxel;7.Bevacizumab;0.Paclitaxel;14.Bevacizumab;0.Paclitaxel;7.Paclitaxel;7.Bevacizumab;0.Paclitaxel;","14.Bevacizumab;0.Paclitaxel;7.Paclitaxel;7.Bevacizumab;0.Paclitaxel;"
"8","1.126.104.1","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"Paclitaxel & Vinorelbine",TRUE,"Cont.","21.Paclitaxel;0.Vinorelbine;7.Vinorelbine;21.Paclitaxel;0.Vinorelbine;7.Vinorelbine;","21.Paclitaxel;0.Vinorelbine;7.Vinorelbine;"
"9","1.126.105.1","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"nab-Paclitaxel monotherapy",TRUE,"Cont.","14.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);14.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);","14.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);"
"10","1.126.105.2","Solid Tumor","Breast Oncology","Breast cancer",1,"Metastatic disease, first-line chemotherapy",126,"nab-Paclitaxel monotherapy",TRUE,"Cont.","21.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);21.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);","21.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);"
